# X	Z
1.120000000000000107e+00	7.082386558159796675e-01
1.130000000000000115e+00	7.084225470966123428e-01
1.140000000000000124e+00	7.086183210193406357e-01
1.150000000000000133e+00	7.088256118199148803e-01
1.159999999999999920e+00	7.090440636695054533e-01
1.169999999999999929e+00	7.092733304048274290e-01
1.179999999999999938e+00	7.095130752655158801e-01
1.189999999999999947e+00	7.097629706385714110e-01
1.199999999999999956e+00	7.100226978096958463e-01
1.209999999999999964e+00	7.102919467213459903e-01
1.219999999999999973e+00	7.105704157373331498e-01
1.229999999999999982e+00	7.108578114138018877e-01
1.239999999999999991e+00	7.111538482764242497e-01
1.250000000000000000e+00	7.114582486036498121e-01
1.260000000000000009e+00	7.117707422158545683e-01
1.270000000000000018e+00	7.120910662702346627e-01
1.280000000000000027e+00	7.124189650612965385e-01
1.290000000000000036e+00	7.127541898267970577e-01
1.300000000000000044e+00	7.130964985589880456e-01
1.310000000000000053e+00	7.134456558210292565e-01
1.320000000000000062e+00	7.138014325684293171e-01
1.330000000000000071e+00	7.141636059753831978e-01
1.340000000000000080e+00	7.145319592658757601e-01
1.350000000000000089e+00	7.149062815494230394e-01
1.360000000000000098e+00	7.152863676613285815e-01
1.370000000000000107e+00	7.156720180073309345e-01
1.380000000000000115e+00	7.160630384125272752e-01
1.390000000000000124e+00	7.164592399744547091e-01
1.400000000000000133e+00	7.168604389202188898e-01
1.409999999999999920e+00	7.172664564675576004e-01
1.419999999999999929e+00	7.176771186897348276e-01
1.429999999999999938e+00	7.180922563841597439e-01
1.439999999999999947e+00	7.185117049446270165e-01
1.449999999999999956e+00	7.189353042370831837e-01
1.459999999999999964e+00	7.193628984788177361e-01
1.469999999999999973e+00	7.197943361209891977e-01
1.479999999999999982e+00	7.202294697343905039e-01
1.489999999999999991e+00	7.206681558983668578e-01
1.500000000000000000e+00	7.211102550927978028e-01
1.510000000000000009e+00	7.215556315930594655e-01
1.520000000000000018e+00	7.220041533678831502e-01
1.530000000000000027e+00	7.224556919800312338e-01
1.540000000000000036e+00	7.229101224897119815e-01
1.550000000000000044e+00	7.233673233606555675e-01
1.560000000000000053e+00	7.238271763687793570e-01
1.570000000000000062e+00	7.242895665133687322e-01
1.580000000000000071e+00	7.247543819307039614e-01
1.590000000000000080e+00	7.252215138100649439e-01
1.600000000000000089e+00	7.256908563120464395e-01
1.610000000000000098e+00	7.261623064891205015e-01
1.620000000000000107e+00	7.266357642083824953e-01
1.630000000000000115e+00	7.271111320764191976e-01
1.640000000000000124e+00	7.275883153662405789e-01
1.650000000000000133e+00	7.280672219462165362e-01
1.660000000000000142e+00	7.285477622109628459e-01
1.669999999999999929e+00	7.290298490141212673e-01
1.679999999999999938e+00	7.295133976029812839e-01
1.689999999999999947e+00	7.299983255548910810e-01
1.699999999999999956e+00	7.304845527154081308e-01
1.709999999999999964e+00	7.309720011381399818e-01
1.719999999999999973e+00	7.314605950262287326e-01
1.729999999999999982e+00	7.319502606754317853e-01
1.739999999999999991e+00	7.324409264187551338e-01
1.750000000000000000e+00	7.329325225725954462e-01
1.760000000000000009e+00	7.334249813843475296e-01
1.770000000000000018e+00	7.339182369814378770e-01
1.780000000000000027e+00	7.344122253217425511e-01
1.790000000000000036e+00	7.349068841453518797e-01
1.800000000000000044e+00	7.354021529276428826e-01
1.810000000000000053e+00	7.358979728336245696e-01
1.820000000000000062e+00	7.363942866735184722e-01
1.830000000000000071e+00	7.368910388595413252e-01
1.840000000000000080e+00	7.373881753638549252e-01
1.850000000000000089e+00	7.378856436776523031e-01
1.860000000000000098e+00	7.383833927713462364e-01
1.870000000000000107e+00	7.388813730558311255e-01
1.880000000000000115e+00	7.393795363447869251e-01
1.890000000000000124e+00	7.398778358179970427e-01
1.900000000000000133e+00	7.403762259856513372e-01
1.910000000000000142e+00	7.408746626536065749e-01
1.919999999999999929e+00	7.413731028895785835e-01
1.929999999999999938e+00	7.418715049902383507e-01
1.939999999999999947e+00	7.423698284491897503e-01
1.949999999999999956e+00	7.428680339258009191e-01
1.959999999999999964e+00	7.433660832148684117e-01
1.969999999999999973e+00	7.438639392170901532e-01
1.979999999999999982e+00	7.443615659103230975e-01
1.989999999999999991e+00	7.448589283216069390e-01
